ID	CP	ストア	出版社	データタイプ	作者	タイトルID	タイトル名	フォーマット	画面サイズ	DL区分	通番	配信許諾名	配信	表示	状態	価格	DL期限	許諾開始日	許諾終了日	配信開始日	配信終了日	登録日時	更新日時
002ep2a0	Amazon.com, Inc.(国内)	Kindle(国内納品用)	LINE	電子書籍	萱島のぞみ･倉田嘘	0000awo9	バレヱのお時間!!	EPUB3.0	汎用	サンプル	1	サンプル	○	○	○	0	1	2018/05/15	2999/12/31	2018/05/15	2999/12/31	2018/05/12 06:08:07	2018/05/26 06:08:12
002ep29w	Amazon.com, Inc.(国内)	Kindle(国内納品用)	LINE	電子書籍	田口囁一	0000awoa	シアロア	EPUB3.0	汎用	サンプル	1	サンプル	○	○	○	0	1	2018/05/15	2999/12/31	2018/05/15	2999/12/31	2018/05/12 06:08:07	2018/05/12 06:08:07
002epsyu	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hno	サッカーダイジェスト	EPUB3.0	汎用	DL	73	アメリカ’94 ワールドカップ決戦速報号	○	○	○	463	無期限	2018/05/12	2999/12/31	2018/05/12	2999/12/31	2018/05/12 06:08:07	2018/05/12 06:08:07
002epsyw	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hno	サッカーダイジェスト	EPUB3.0	汎用	DL	74	フランス’98 ワールドカップ決戦速報号	○	○	○	463	無期限	2018/05/12	2999/12/31	2018/05/12	2999/12/31	2018/05/12 06:08:07	2018/05/12 06:08:07
002epsyy	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hno	サッカーダイジェスト	EPUB3.0	汎用	DL	75	1986年5月号	○	○	○	463	無期限	2018/05/12	2999/12/31	2018/05/12	2999/12/31	2018/05/12 06:08:07	2018/05/12 06:08:07
002epsz0	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hno	サッカーダイジェスト	EPUB3.0	汎用	DL	76	1987年12月号	○	○	○	463	無期限	2018/05/12	2999/12/31	2018/05/12	2999/12/31	2018/05/12 06:08:07	2018/05/12 06:08:07
002epsz2	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hno	サッカーダイジェスト	EPUB3.0	汎用	DL	77	1993年8月15日号	○	○	○	463	無期限	2018/05/12	2999/12/31	2018/05/12	2999/12/31	2018/05/12 06:08:07	2018/05/12 06:08:07
002epsyv	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hno	サッカーダイジェスト	EPUB3.0	汎用	サンプル	73	サンプル	○	○	○	0	1	2018/05/12	2999/12/31	2018/05/12	2999/12/31	2018/05/12 06:08:07	2018/05/12 06:08:07
002epsyx	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hno	サッカーダイジェスト	EPUB3.0	汎用	サンプル	74	サンプル	○	○	○	0	1	2018/05/12	2999/12/31	2018/05/12	2999/12/31	2018/05/12 06:08:07	2018/05/12 06:08:07
002epsyz	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hno	サッカーダイジェスト	EPUB3.0	汎用	サンプル	75	サンプル	○	○	○	0	1	2018/05/12	2999/12/31	2018/05/12	2999/12/31	2018/05/12 06:08:07	2018/05/12 06:08:07
002epsz1	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hno	サッカーダイジェスト	EPUB3.0	汎用	サンプル	76	サンプル	○	○	○	0	1	2018/05/12	2999/12/31	2018/05/12	2999/12/31	2018/05/12 06:08:07	2018/05/12 06:08:07
002epsz3	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hno	サッカーダイジェスト	EPUB3.0	汎用	サンプル	77	サンプル	○	○	○	0	1	2018/05/12	2999/12/31	2018/05/12	2999/12/31	2018/05/12 06:08:07	2018/05/12 06:08:07
002eo43s	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hno	サッカーダイジェスト	EPUB3.0	汎用	DL	72	2018/5/24号	○	○	○	463	無期限	2018/05/10	2999/12/31	2018/05/10	2999/12/31	2018/05/10 06:09:00	2018/05/10 06:09:00
002elf4o	Amazon.com, Inc.(国内)	Kindle(国内納品用)	デアゴスティーニ･ジャパン	電子書籍	デアゴスティーニ編集部	000096jr	日本の城 改訂版	EPUB3.0	汎用	DL	51	第51号	○	○	○	444	無期限	2018/05/10	2999/12/31	2018/05/10	2999/12/31	2018/05/02 06:09:15	2018/05/02 06:09:15
002em32c	Amazon.com, Inc.(国内)	Kindle(国内納品用)	デアゴスティーニ･ジャパン	電子書籍	デアゴスティーニ編集部	000096jr	日本の城 改訂版	EPUB3.0	汎用	サンプル	51	サンプル	○	○	○	0	1	2018/05/10	2999/12/31	2018/05/10	2999/12/31	2018/05/03 06:08:07	2018/05/03 06:08:07
002eo43t	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hno	サッカーダイジェスト	EPUB3.0	汎用	サンプル	72	サンプル	○	○	○	0	1	2018/05/10	2999/12/31	2018/05/10	2999/12/31	2018/05/10 06:09:00	2018/05/10 06:09:00
002em32d	Amazon.com, Inc.(国内)	Kindle(国内納品用)	クレタパブリッシング	電子書籍	クレタパブリッシング	00009gw5	風まかせ	EPUB3.0	汎用	DL	22	2018年6月号	○	○	○	741	無期限	2018/05/07	2999/12/31	2018/05/07	2999/12/31	2018/05/03 06:08:07	2018/05/03 06:08:07
002em32e	Amazon.com, Inc.(国内)	Kindle(国内納品用)	クレタパブリッシング	電子書籍	クレタパブリッシング	00009gw5	風まかせ	EPUB3.0	汎用	サンプル	22	サンプル	○	○	○	0	1	2018/05/07	2999/12/31	2018/05/07	2999/12/31	2018/05/03 06:08:06	2018/05/03 06:08:06
002ec2nd	Amazon.com, Inc.(国内)	Kindle(国内納品用)	デアゴスティーニ･ジャパン	電子書籍	デアゴスティーニ編集部	000096jr	日本の城 改訂版	EPUB3.0	汎用	DL	50	第50号	○	○	○	444	無期限	2018/05/03	2999/12/31	2018/05/03	2999/12/31	2018/04/20 06:09:04	2018/04/20 06:09:04
002eds34	Amazon.com, Inc.(国内)	Kindle(国内納品用)	デアゴスティーニ･ジャパン	電子書籍	デアゴスティーニ編集部	000096jr	日本の城 改訂版	EPUB3.0	汎用	サンプル	50	サンプル	○	○	○	0	1	2018/05/03	2999/12/31	2018/05/03	2999/12/31	2018/04/21 06:09:02	2018/04/21 06:09:02
002elern	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hnn	WORLD SOCCER DIGEST	EPUB3.0	汎用	DL	66	2018/5/17号	○	○	○	694	無期限	2018/05/02	2999/12/31	2018/05/02	2999/12/31	2018/05/02 06:09:15	2018/05/02 06:09:15
002elerp	Amazon.com, Inc.(国内)	Kindle(国内納品用)	クレタパブリッシング	電子書籍	クレタパブリッシング	00009gvr	レディスバイク	EPUB3.0	汎用	DL	21	2018年6月号	○	○	○	649	無期限	2018/05/02	2999/12/31	2018/05/02	2999/12/31	2018/05/02 06:09:15	2018/05/02 06:09:15
002elerq	Amazon.com, Inc.(国内)	Kindle(国内納品用)	クレタパブリッシング	電子書籍	クレタパブリッシング	00009gvr	レディスバイク	EPUB3.0	汎用	サンプル	21	サンプル	○	○	○	0	1	2018/05/02	2999/12/31	2018/05/02	2999/12/31	2018/05/02 06:09:15	2018/05/02 06:09:15
002elero	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hnn	WORLD SOCCER DIGEST	EPUB3.0	汎用	サンプル	66	サンプル	○	○	○	0	1	2018/05/02	2999/12/31	2018/05/02	2999/12/31	2018/05/02 06:09:15	2018/05/02 06:09:15
002eka8c	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hno	サッカーダイジェスト	EPUB3.0	汎用	DL	71	日韓’2002 ワールドカップ決戦速報号	○	○	○	463	無期限	2018/04/28	2999/12/31	2018/04/28	2999/12/31	2018/04/28 06:08:22	2018/04/28 06:08:22
002eka8d	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hno	サッカーダイジェスト	EPUB3.0	汎用	サンプル	71	サンプル	○	○	○	0	1	2018/04/28	2999/12/31	2018/04/28	2999/12/31	2018/04/28 06:08:22	2018/04/28 06:08:22
002eh2zg	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hno	サッカーダイジェスト	EPUB3.0	汎用	DL	70	2018/5/10号	○	○	○	463	無期限	2018/04/26	2999/12/31	2018/04/26	2999/12/31	2018/04/25 06:09:20	2018/04/25 06:09:20
002ec2nc	Amazon.com, Inc.(国内)	Kindle(国内納品用)	デアゴスティーニ･ジャパン	電子書籍	デアゴスティーニ編集部	000096jr	日本の城 改訂版	EPUB3.0	汎用	DL	49	第49号	○	○	○	444	無期限	2018/04/26	2999/12/31	2018/04/26	2999/12/31	2018/04/20 06:09:04	2018/04/20 06:09:04
002eds33	Amazon.com, Inc.(国内)	Kindle(国内納品用)	デアゴスティーニ･ジャパン	電子書籍	デアゴスティーニ編集部	000096jr	日本の城 改訂版	EPUB3.0	汎用	サンプル	49	サンプル	○	○	○	0	1	2018/04/26	2999/12/31	2018/04/26	2999/12/31	2018/04/21 06:09:02	2018/04/21 06:09:02
002eh2zh	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hno	サッカーダイジェスト	EPUB3.0	汎用	サンプル	70	サンプル	○	○	○	0	1	2018/04/26	2999/12/31	2018/04/26	2999/12/31	2018/04/25 06:09:20	2018/04/25 06:09:20
002eg7zs	Amazon.com, Inc.(国内)	Kindle(国内納品用)	クレタパブリッシング	電子書籍	クレタパブリッシング	00009gvl	タンデムスタイル	EPUB3.0	汎用	DL	42	2018年6月号	○	○	○	556	無期限	2018/04/24	2999/12/31	2018/04/24	2999/12/31	2018/04/24 06:08:29	2018/04/24 06:08:29
002ec2ng	Amazon.com, Inc.(国内)	Kindle(国内納品用)	ライトハウスメディア	電子書籍	OCEANS編集部	00009hak	OCEANS	EPUB3.0	汎用	DL	46	2018年6月号	○	○	○	362	無期限	2018/04/24	2999/12/31	2018/04/24	2999/12/31	2018/04/20 06:09:04	2018/04/20 06:09:04
002eg7zt	Amazon.com, Inc.(国内)	Kindle(国内納品用)	クレタパブリッシング	電子書籍	クレタパブリッシング	00009gvl	タンデムスタイル	EPUB3.0	汎用	サンプル	42	サンプル	○	○	○	0	1	2018/04/24	2999/12/31	2018/04/24	2999/12/31	2018/04/24 06:08:29	2018/04/24 06:08:29
002ec2nh	Amazon.com, Inc.(国内)	Kindle(国内納品用)	ライトハウスメディア	電子書籍	OCEANS編集部	00009hak	OCEANS	EPUB3.0	汎用	サンプル	46	サンプル	○	○	○	0	1	2018/04/24	2999/12/31	2018/04/24	2999/12/31	2018/04/20 06:09:04	2018/04/20 06:09:04
002eds35	Amazon.com, Inc.(国内)	Kindle(国内納品用)	マルモ出版	電子書籍	マルモ出版	00009h8j	LANDSCAPE DESIGN	EPUB3.0	汎用	DL	120	No.120	○	○	○	834	無期限	2018/04/23	2999/12/31	2018/04/23	2999/12/31	2018/04/21 06:09:02	2018/04/21 06:09:02
002eds36	Amazon.com, Inc.(国内)	Kindle(国内納品用)	マルモ出版	電子書籍	マルモ出版	00009h8j	LANDSCAPE DESIGN	EPUB3.0	汎用	サンプル	120	サンプル	○	○	○	0	1	2018/04/23	2999/12/31	2018/04/23	2999/12/31	2018/04/21 06:09:02	2018/04/21 06:09:02
002ec2ne	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hnr	スマッシュ	EPUB3.0	汎用	DL	56	2018年6月号	○	○	○	620	無期限	2018/04/21	2999/12/31	2018/04/21	2999/12/31	2018/04/20 06:09:04	2018/04/20 06:09:04
002ec2nf	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hnr	スマッシュ	EPUB3.0	汎用	サンプル	56	サンプル	○	○	○	0	1	2018/04/21	2999/12/31	2018/04/21	2999/12/31	2018/04/20 06:09:04	2018/04/20 06:09:04
002e20cg	Amazon.com, Inc.(国内)	Kindle(国内納品用)	シムサム･メディア	電子書籍	クロノス日本版編集部	00009gxz	クロノス日本版	EPUB3.0	汎用	DL	43	no.076	○	○	○	900	無期限	2018/04/20	2999/12/31	2018/04/20	2999/12/31	2018/04/11 06:08:01	2018/04/11 06:08:01
002e20ch	Amazon.com, Inc.(国内)	Kindle(国内納品用)	シムサム･メディア	電子書籍	クロノス日本版編集部	00009gxz	クロノス日本版	EPUB3.0	汎用	サンプル	43	サンプル	○	○	○	0	1	2018/04/20	2999/12/31	2018/04/20	2999/12/31	2018/04/11 06:08:01	2018/04/11 06:08:01
002eahxj	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hnn	WORLD SOCCER DIGEST	EPUB3.0	汎用	DL	65	2018/5/3号	○	○	○	694	無期限	2018/04/19	2999/12/31	2018/04/19	2999/12/31	2018/04/18 06:08:15	2018/04/18 06:08:15
002dx9mo	Amazon.com, Inc.(国内)	Kindle(国内納品用)	デアゴスティーニ･ジャパン	電子書籍	デアゴスティーニ編集部	000096jr	日本の城 改訂版	EPUB3.0	汎用	DL	48	第48号	○	○	○	444	無期限	2018/04/19	2999/12/31	2018/04/19	2999/12/31	2018/04/06 06:08:58	2018/04/06 06:08:58
002dx9mp	Amazon.com, Inc.(国内)	Kindle(国内納品用)	デアゴスティーニ･ジャパン	電子書籍	デアゴスティーニ編集部	000096jr	日本の城 改訂版	EPUB3.0	汎用	サンプル	48	サンプル	○	○	○	0	1	2018/04/19	2999/12/31	2018/04/19	2999/12/31	2018/04/06 06:08:58	2018/04/06 06:08:58
002eahxk	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hnn	WORLD SOCCER DIGEST	EPUB3.0	汎用	サンプル	65	サンプル	○	○	○	0	1	2018/04/19	2999/12/31	2018/04/19	2999/12/31	2018/04/18 06:08:15	2018/04/18 06:08:15
002e5tzu	Amazon.com, Inc.(国内)	Kindle(国内納品用)	クレタパブリッシング	電子書籍	クレタパブリッシング	00009guc	カスタムピープル	EPUB3.0	汎用	DL	42	2018年6月号	○	○	○	834	無期限	2018/04/16	2999/12/31	2018/04/16	2999/12/31	2018/04/13 06:08:01	2018/04/13 06:08:01
002e5tzv	Amazon.com, Inc.(国内)	Kindle(国内納品用)	クレタパブリッシング	電子書籍	クレタパブリッシング	00009guc	カスタムピープル	EPUB3.0	汎用	サンプル	42	サンプル	○	○	○	0	1	2018/04/16	2999/12/31	2018/04/16	2999/12/31	2018/04/13 06:08:01	2018/04/13 06:08:01
002e30cb	Amazon.com, Inc.(国内)	Kindle(国内納品用)	LINE	電子書籍	河井あぽろ	00007xbn	嘘にも恋がいる	EPUB3.0	汎用	DL	5	5巻	○	○	○	540	無期限	2018/04/13	2999/12/31	2018/04/13	2999/12/31	2018/04/12 06:08:06	2018/05/26 06:08:12
002e30c9	Amazon.com, Inc.(国内)	Kindle(国内納品用)	LINE	電子書籍	篠原知宏	00009qa7	鈍色の箱の中で	EPUB3.0	汎用	DL	2	2巻	○	○	○	460	無期限	2018/04/13	2999/12/31	2018/04/13	2999/12/31	2018/04/12 06:08:06	2018/05/26 06:08:12
002e30c7	Amazon.com, Inc.(国内)	Kindle(国内納品用)	LINE	電子書籍	森つぶみ	00009v1k	月曜から金曜の男子高校生	EPUB3.0	汎用	DL	3	3巻	○	○	○	460	無期限	2018/04/13	2999/12/31	2018/04/13	2999/12/31	2018/04/12 06:08:06	2018/05/26 06:08:12
002e30ca	Amazon.com, Inc.(国内)	Kindle(国内納品用)	LINE	電子書籍	河井あぽろ	00007xbn	嘘にも恋がいる	EPUB3.0	汎用	サンプル	5	サンプル	○	○	○	0	1	2018/04/13	2999/12/31	2018/04/13	2999/12/31	2018/04/12 06:08:06	2018/05/26 06:08:12
002e30c8	Amazon.com, Inc.(国内)	Kindle(国内納品用)	LINE	電子書籍	篠原知宏	00009qa7	鈍色の箱の中で	EPUB3.0	汎用	サンプル	2	サンプル	○	○	○	0	1	2018/04/13	2999/12/31	2018/04/13	2999/12/31	2018/04/12 06:08:06	2018/05/26 06:08:12
002e30c6	Amazon.com, Inc.(国内)	Kindle(国内納品用)	LINE	電子書籍	森つぶみ	00009v1k	月曜から金曜の男子高校生	EPUB3.0	汎用	サンプル	3	サンプル	○	○	○	0	1	2018/04/13	2999/12/31	2018/04/13	2999/12/31	2018/04/12 06:08:06	2018/05/26 06:08:12
002e081i	Amazon.com, Inc.(国内)	Kindle(国内納品用)	MUGENUP	電子書籍	美月･キキノ	0000asnq	溺レる果実(下)	EPUB3.0	汎用	DL	1	本編	○	○	○	900	無期限	2018/04/12	2999/12/31	2018/04/12	2999/12/31	2018/04/10 06:08:00	2018/04/10 06:08:00
002e081k	Amazon.com, Inc.(国内)	Kindle(国内納品用)	MUGENUP	電子書籍	柚月美慧･きりとが	0000asnp	恋と魔法が生まれる街で～純情魔法使いは溺愛される～	EPUB3.0	汎用	DL	1	本編	○	○	○	750	無期限	2018/04/12	2999/12/31	2018/04/12	2999/12/31	2018/04/10 06:08:00	2018/04/10 06:08:00
002e20ci	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hno	サッカーダイジェスト	EPUB3.0	汎用	DL	69	2018/4/26号	○	○	○	463	無期限	2018/04/12	2999/12/31	2018/04/12	2999/12/31	2018/04/11 06:08:01	2018/04/11 06:08:01
002dx7yk	Amazon.com, Inc.(国内)	Kindle(国内納品用)	デアゴスティーニ･ジャパン	電子書籍	デアゴスティーニ編集部	000096jr	日本の城 改訂版	EPUB3.0	汎用	DL	47	第47号	○	○	○	444	無期限	2018/04/12	2999/12/31	2018/04/12	2999/12/31	2018/04/06 06:08:58	2018/04/06 06:08:58
002dx7yl	Amazon.com, Inc.(国内)	Kindle(国内納品用)	デアゴスティーニ･ジャパン	電子書籍	デアゴスティーニ編集部	000096jr	日本の城 改訂版	EPUB3.0	汎用	サンプル	47	サンプル	○	○	○	0	1	2018/04/12	2999/12/31	2018/04/12	2999/12/31	2018/04/06 06:08:58	2018/04/06 06:08:58
002e20cj	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hno	サッカーダイジェスト	EPUB3.0	汎用	サンプル	69	サンプル	○	○	○	0	1	2018/04/12	2999/12/31	2018/04/12	2999/12/31	2018/04/11 06:08:01	2018/04/11 06:08:01
002e081j	Amazon.com, Inc.(国内)	Kindle(国内納品用)	MUGENUP	電子書籍	柚月美慧･きりとが	0000asnp	恋と魔法が生まれる街で～純情魔法使いは溺愛される～	EPUB3.0	汎用	サンプル	1	サンプル	○	○	○	0	1	2018/04/12	2999/12/31	2018/04/12	2999/12/31	2018/04/10 06:08:00	2018/04/10 06:08:00
002e081h	Amazon.com, Inc.(国内)	Kindle(国内納品用)	MUGENUP	電子書籍	美月･キキノ	0000asnq	溺レる果実(下)	EPUB3.0	汎用	サンプル	1	サンプル	○	○	○	0	1	2018/04/12	2999/12/31	2018/04/12	2999/12/31	2018/04/10 06:08:00	2018/04/10 06:08:00
002dv3ug	Amazon.com, Inc.(国内)	Kindle(国内納品用)	クレタパブリッシング	電子書籍	クレタパブリッシング	00009gtf	Under400	EPUB3.0	汎用	DL	21	2018年5月号	○	○	○	649	無期限	2018/04/06	2999/12/31	2018/04/06	2999/12/31	2018/04/05 06:08:05	2018/04/05 06:08:05
002dv3uh	Amazon.com, Inc.(国内)	Kindle(国内納品用)	クレタパブリッシング	電子書籍	クレタパブリッシング	00009gtf	Under400	EPUB3.0	汎用	サンプル	21	サンプル	○	○	○	0	1	2018/04/06	2999/12/31	2018/04/06	2999/12/31	2018/04/05 06:08:05	2018/04/05 06:08:05
002dv3ue	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hnn	WORLD SOCCER DIGEST	EPUB3.0	汎用	DL	64	2018/4/19号	○	○	○	694	無期限	2018/04/05	2999/12/31	2018/04/05	2999/12/31	2018/04/05 06:08:05	2018/04/05 06:08:05
002drv96	Amazon.com, Inc.(国内)	Kindle(国内納品用)	デアゴスティーニ･ジャパン	電子書籍	デアゴスティーニ編集部	000096jr	日本の城 改訂版	EPUB3.0	汎用	DL	46	第46号	○	○	○	444	無期限	2018/04/05	2999/12/31	2018/04/05	2999/12/31	2018/03/31 06:08:57	2018/03/31 06:08:57
002drv97	Amazon.com, Inc.(国内)	Kindle(国内納品用)	デアゴスティーニ･ジャパン	電子書籍	デアゴスティーニ編集部	000096jr	日本の城 改訂版	EPUB3.0	汎用	サンプル	46	サンプル	○	○	○	0	1	2018/04/05	2999/12/31	2018/04/05	2999/12/31	2018/03/31 06:08:57	2018/03/31 06:08:57
002dv3uf	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hnn	WORLD SOCCER DIGEST	EPUB3.0	汎用	サンプル	64	サンプル	○	○	○	0	1	2018/04/05	2999/12/31	2018/04/05	2999/12/31	2018/04/05 06:08:05	2018/04/05 06:08:05